,Meta-level Policy,pretrained_runs_folder,pretrained_run,pretrained_percentile,expand_all_actions,finish_on_terminate,max_tree_size,action_repeats,agent_name,collect_steps_per_iteration,discount,env,epsilon,epsilon_decay_steps,epsilon_schedule,eval_steps,experience_batch_size,final_epsilon,frame_stack,grayscale,initial_collect_steps,initial_epsilon,learning_rate,max_epochs,metrics,model_config,n_collect_envs,n_eval_envs,n_video_envs,name,optimiser_config,procgen_env_name,replay_buffer_capacity,run_dir,target_network_update_period,train_steps_per_epoch,video_seconds,pretrained_epoch,pretrained_return,pretrained_path,EvalRewrittenAverageReturn,EvalNumberOfEpisodes,EvalEnvironmentSteps,EvalAverageReturn,EvalAverageEpisodeLength,EvalTime,ObjectLevelMeanReward,ObjectLevelMeanStepsPerEpisode,ObjectLevelEpisodes,EvalFinalPolicyValue
0,AStar,runs,run-16823527592836354,0.25,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,0.0,0,160,0.0,0.0,0.7315051555633545,0.0,0.0,16,
1,Random,runs,run-16823527592836354,0.25,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,0.0,75,167,-0.15811768,1.6533333,2.4263968467712402,0.25,7.3125,16,17.390825297942534
2,RandomNoTerminate,runs,run-16823527592836354,0.25,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,0.0,59,168,-0.07274114,2.2542372,2.1289761066436768,0.1875,6.6875,16,17.08972680979761
3,Terminator,runs,run-16823527592836354,0.25,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,0.0,160,160,0.0,1.0,1.5482337474822998,0.35294117647058826,9.411764705882353,17,
4,AStar,runs,run-16823527592836354,0.5,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,0.0,0,160,0.0,0.0,0.8418347835540771,0.0,0.0625,16,
5,Random,runs,run-16823527592836354,0.5,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,-0.026162302,92,170,0.01363867,1.2717391,2.3621137142181396,0.3125,8.6875,16,20.61119336865743
6,RandomNoTerminate,runs,run-16823527592836354,0.5,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,0.0,51,160,-0.0033682445,1.9607843,1.9681141376495361,0.125,6.0,16,20.590088420444065
7,Terminator,runs,run-16823527592836354,0.5,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,0.0,160,160,0.0,1.0,1.5314724445343018,0.25,10.0,16,
8,AStar,runs,run-16823527592836354,0.75,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,40,30.722221,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_40_30.722221,0.0,0,160,0.0,0.0,1.0438265800476074,0.0,0.0,16,
9,Random,runs,run-16823527592836354,0.75,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,40,30.722221,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_40_30.722221,0.0,66,162,0.01768322,1.8787879,2.030700922012329,0.1875,6.5625,16,24.739345951721198
10,RandomNoTerminate,runs,run-16823527592836354,0.75,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,40,30.722221,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_40_30.722221,0.0,52,160,-0.11082947,2.2692308,1.8676621913909912,0.25,6.1875,16,24.837541500727337
11,Terminator,runs,run-16823527592836354,0.75,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,40,30.722221,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_40_30.722221,0.0,160,160,0.0,1.0,1.6141822338104248,0.3888888888888889,8.88888888888889,18,
12,AStar,runs,run-16823527592836354,0.9,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,60,37.204189,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_60_37.204189,0.0,0,160,0.0,0.0,0.8588995933532715,0.0625,0.125,16,
13,Random,runs,run-16823527592836354,0.9,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,60,37.204189,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_60_37.204189,-0.06731427,68,162,-0.14369671,1.8382353,1.9962501525878906,0.0625,6.8125,16,28.200305170059202
14,RandomNoTerminate,runs,run-16823527592836354,0.9,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,60,37.204189,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_60_37.204189,0.0,54,161,-0.09679193,2.0370371,1.9062256813049316,0.1875,6.1875,16,28.050014586675736
15,Terminator,runs,run-16823527592836354,0.9,True,True,10,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,60,37.204189,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_60_37.204189,0.0,160,160,0.0,1.0,1.6010322570800781,0.375,10.0,16,
