Meta-level Policy,gpus,pretrained_runs_folder,pretrained_run,max_tree_size,eval_steps_per_env,no_video,video_fps,video_steps,pretrained_percentile,expand_all_actions,finish_on_terminate,action_repeats,agent_name,collect_steps_per_iteration,discount,env,epsilon,epsilon_decay_steps,epsilon_schedule,eval_steps,experience_batch_size,final_epsilon,frame_stack,grayscale,initial_collect_steps,initial_epsilon,learning_rate,max_epochs,metrics,model_config,n_collect_envs,n_eval_envs,n_video_envs,name,optimiser_config,procgen_env_name,replay_buffer_capacity,run_dir,target_network_update_period,train_steps_per_epoch,video_seconds,pretrained_epoch,pretrained_return,pretrained_path,EvalRewrittenAverageReturn,EvalNumberOfEpisodes,EvalEnvironmentSteps,EvalAverageReturn,EvalAverageEpisodeLength,EvalTime,ObjectLevelMeanReward,ObjectLevelMeanStepsPerEpisode,ObjectLevelEpisodes,EvalFinalPolicyValue
Terminator,,sync/dqn,run-16823527592836354,64,3000,False,1,120,0.25,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,0.0,96000,96000,0.0,1.0,1791.6875748634338,19.31918505942275,162.9881154499151,589,
AStar,,sync/dqn,run-16823527592836354,64,3000,False,1,120,0.25,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,-0.22499502,10656,96000,2.649274,9.0,3002.5084733963013,21.03846153846154,166.5,52,19.04762047334653
Random,,sync/dqn,run-16823527592836354,64,3000,False,1,120,0.25,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,-79.08817,29582,96022,70.79948,3.2428842,2320.298233270645,18.544444444444444,164.34444444444443,180,18.37153372815554
RandomNoTerminate,,sync/dqn,run-16823527592836354,64,3000,False,1,120,0.25,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,-76.155685,23796,96018,64.476166,4.0312657,2295.692987203598,18.593103448275862,164.1103448275862,145,18.511634980974343
Terminator,,sync/dqn,run-16823527592836354,64,3000,False,1,120,0.5,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,0.0,48000,48000,0.0,1.0,947.645592212677,25.862068965517242,236.45320197044336,203,
AStar,,sync/dqn,run-16823527592836354,64,3000,False,1,120,0.5,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,-0.22189356,5328,48000,3.7737994,9.0,1558.980480670929,57.4,333.0,5,24.712879991303264
Random,,sync/dqn,run-16823527592836354,64,3000,False,1,120,0.5,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,-60.82145,14770,48001,129.28775,3.2471902,1203.7204234600067,36.0,301.42857142857144,49,23.579183425899057
RandomNoTerminate,,sync/dqn,run-16823527592836354,64,3000,False,1,120,0.5,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,-59.32372,11993,48009,100.20862,3.9983323,1187.0102562904358,25.775,281.175,40,23.451527689407982
Terminator,,sync/dqn,run-16823527592836354,64,3000,False,1,120,0.75,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,40,30.722221,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_40_30.722221,0.0,48000,48000,0.0,1.0,941.5900650024414,38.63522012578616,301.8867924528302,159,
AStar,,sync/dqn,run-16823527592836354,64,3000,False,1,120,0.75,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,40,30.722221,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_40_30.722221,-0.22730128,5328,48000,2.9282038,9.0,1536.2611482143402,36.0,215.47058823529412,17,27.835667341032625
Random,,sync/dqn,run-16823527592836354,64,3000,False,1,120,0.75,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,40,30.722221,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_40_30.722221,-61.90952,14690,48001,115.07316,3.2650783,1209.9183452129364,34.08,256.2,50,27.898871232910185
RandomNoTerminate,,sync/dqn,run-16823527592836354,64,3000,False,1,120,0.75,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,40,30.722221,sync/dqn/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_40_30.722221,-66.06042,12018,48003,88.52255,3.9906807,1189.374620437622,35.93333333333333,375.8,30,27.9195269028233
